alfa2,cidade,regiao,populacao,latitude,longitude
af,sar-e pul,33,52138.0,36.215443,65.932487
af,saykh mohammadyan,10,,32.184259000000004,64.981844
af,sayyid `abd ul ghafur shah,19,,31.086667,61.871111
af,selkas,05,,34.806111,67.894722
af,shakarak,31,,36.603525,65.755156
af,shakh tut,39,,33.139655,66.36921600000001
af,shapokhtah kelay,10,,32.330372,64.998127
af,sharan,29,7368.0,33.146667,68.791667
af,shibarghan,31,55658.0,36.667567,65.752904
af,shin'ya-va-naukala,41,,34.217046,66.35041
af,shirinpada,10,,33.043589000000004,65.089985
af,sindand,11,29273.0,33.302944000000004,62.1474
af,soba kala,37,,33.370621,70.03091500000001
af,tagab,14,6400.0,34.855007,69.64917
af,talkhani,08,,32.428084000000005,67.74168399999999
af,taloqan,26,64275.0,36.734133,69.533559
af,tangi arzo,03,,35.599755,69.273045
af,tapalegh kalay,23,,32.098391,66.268674
af,tauday,37,,33.323101,69.88772
af,taywarah,09,14398.0,33.521176000000004,64.42115600000001
af,tir pol,11,6979.0,34.594307,61.268951
af,tokzar,33,12021.0,35.948308000000004,66.42132
af,tundarayi-khushk,27,,34.436819,68.560766
af,uruzgan,39,13400.0,32.927751,66.63253399999999
af,vaygal',38,,35.193145,70.994776
af,waja,10,,30.548523,63.48075
af,zaranj,19,33894.0,30.966666999999998,61.88333299999999
af,zardad qal`ah,08,,32.828445,67.83602900000001
af,zard sang,41,,33.206263,65.510797
af,zur kowt,36,,33.418808,69.354279
ag,all saints,06,2526.0,17.05,-61.8
ag,carlisle,03,831.0,17.1333333,-61.8
ag,codrington,01,682.0,17.6333333,-61.8333333
ag,freetown,08,623.0,17.05,-61.7
ag,liberta,06,1668.0,17.033333300000002,-61.783333299999995
ag,old road,05,623.0,17.0166667,-61.8333333
ag,parham,07,969.0,17.0833333,-61.7666667
ag,swetes,06,727.0,17.05,-61.8
ai,the valley,00,1379.0,18.216666699999998,-63.05
